class,class_name,Type,precision,recall,f1,support,accuracy
C0000833,Abscess,,$0.83 \pm 0.02$,$0.88 \pm 0.03$,$0.85 \pm 0.02$,$79.2 \pm 0.4$,$0.86 \pm 0.02$
C0003962,Ascites,,$0.85 \pm 0.04$,$0.87 \pm 0.03$,$0.86 \pm 0.01$,$41.4 \pm 0.49$,$nan \pm nan$
C0006267,Bronchiectasis,,$0.79 \pm 0.06$,$0.79 \pm 0.11$,$0.78 \pm 0.06$,$16.8 \pm 0.4$,$nan \pm nan$
C0006826,Malignant neoplastic disease,,$0.77 \pm 0.1$,$0.58 \pm 0.03$,$0.66 \pm 0.05$,$22.0 \pm 0.0$,$nan \pm nan$
C0020295,Hydronephrosis,,$0.95 \pm 0.03$,$0.91 \pm 0.07$,$0.93 \pm 0.05$,$31.4 \pm 0.49$,$nan \pm nan$
C0025062,Mediastinal Emphysema,,$0.88 \pm 0.07$,$0.81 \pm 0.09$,$0.84 \pm 0.06$,$33.8 \pm 0.4$,$nan \pm nan$
C0031039,Pericardial effusion,,$0.94 \pm 0.03$,$0.96 \pm 0.03$,$0.95 \pm 0.02$,$69.0 \pm 0.0$,$nan \pm nan$
C0032285,Pneumonia,,$0.81 \pm 0.05$,$0.82 \pm 0.04$,$0.82 \pm 0.04$,$29.0 \pm 0.0$,$nan \pm nan$
C0032326,Pneumothorax,,$0.86 \pm 0.03$,$0.9 \pm 0.03$,$0.88 \pm 0.01$,$51.4 \pm 0.49$,$nan \pm nan$
C0497156,Lymphadenopathy,,$0.84 \pm 0.05$,$0.83 \pm 0.05$,$0.83 \pm 0.03$,$50.0 \pm 0.0$,$nan \pm nan$
C5203670,COVID19 (disease),,$0.85 \pm 0.04$,$0.78 \pm 0.08$,$0.81 \pm 0.06$,$21.4 \pm 0.49$,$nan \pm nan$
OVERRALL,,Early-fusion,$0.85 \pm 0.05$,$0.83 \pm 0.05$,$0.84 \pm 0.04$,$40.49 \pm 0.22$,$0.86 \pm 0.02$
