class,class_name,Type,precision,recall,f1,support,accuracy
C0000833,Abscess,,$0.8 \pm 0.02$,$0.9 \pm 0.03$,$0.85 \pm 0.02$,$79.2 \pm 0.4$,$0.85 \pm 0.02$
C0003962,Ascites,,$0.86 \pm 0.07$,$0.85 \pm 0.02$,$0.86 \pm 0.03$,$41.4 \pm 0.49$,$nan \pm nan$
C0006267,Bronchiectasis,,$0.83 \pm 0.06$,$0.67 \pm 0.1$,$0.73 \pm 0.07$,$16.8 \pm 0.4$,$nan \pm nan$
C0006826,Malignant neoplastic disease,,$0.7 \pm 0.1$,$0.57 \pm 0.11$,$0.62 \pm 0.09$,$22.0 \pm 0.0$,$nan \pm nan$
C0020295,Hydronephrosis,,$0.96 \pm 0.03$,$0.92 \pm 0.07$,$0.93 \pm 0.03$,$31.4 \pm 0.49$,$nan \pm nan$
C0025062,Mediastinal Emphysema,,$0.89 \pm 0.04$,$0.8 \pm 0.07$,$0.84 \pm 0.03$,$33.8 \pm 0.4$,$nan \pm nan$
C0031039,Pericardial effusion,,$0.95 \pm 0.03$,$0.94 \pm 0.03$,$0.95 \pm 0.03$,$69.0 \pm 0.0$,$nan \pm nan$
C0032285,Pneumonia,,$0.84 \pm 0.04$,$0.82 \pm 0.06$,$0.83 \pm 0.04$,$29.0 \pm 0.0$,$nan \pm nan$
C0032326,Pneumothorax,,$0.84 \pm 0.03$,$0.89 \pm 0.03$,$0.86 \pm 0.0$,$51.4 \pm 0.49$,$nan \pm nan$
C0497156,Lymphadenopathy,,$0.79 \pm 0.03$,$0.78 \pm 0.04$,$0.78 \pm 0.03$,$50.0 \pm 0.0$,$nan \pm nan$
C5203670,COVID19 (disease),,$0.78 \pm 0.03$,$0.83 \pm 0.06$,$0.8 \pm 0.01$,$21.4 \pm 0.49$,$nan \pm nan$
OVERRALL,,Early-fusion,$0.84 \pm 0.04$,$0.82 \pm 0.06$,$0.82 \pm 0.03$,$40.49 \pm 0.22$,$0.85 \pm 0.02$
