,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.8271125197095841,0.022108273352268434,0.8786708860759493,0.034778812152165155,0.8516590807231763,0.02074276829557464,79.2,0.4,0.8576510303824255,0.015779265593466128
1,C0003962,Ascites,0.8454319934552492,0.04250762058078323,0.8743321718931474,0.028481582576329066,0.85819802936082,0.008733861484388285,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.7916339869281046,0.06210099686624842,0.7867647058823529,0.10786541659348381,0.7828983547441966,0.06202444428472773,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.769054834054834,0.10379853623832262,0.5818181818181818,0.0340150671524904,0.6586133022975128,0.04678022195252678,22.0,0.0,,
4,C0020295,Hydronephrosis,0.9470033670033671,0.032446174722161866,0.9112903225806452,0.06935308043532665,0.9275874140524044,0.045490205130725304,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.8773018301896277,0.07083087139819717,0.8051693404634582,0.08977234844533695,0.8356762474940546,0.05883997628511529,33.8,0.4,,
6,C0031039,Pericardial effusion,0.9415677321156772,0.031072034249632636,0.9565217391304348,0.03175203231914009,0.9482610724017839,0.01773843898145388,69.0,0.0,,
7,C0032285,Pneumonia,0.8108374384236454,0.04855778743087955,0.8206896551724139,0.040213461343760686,0.8153322820901888,0.04114172726512953,29.0,0.0,,
8,C0032326,Pneumothorax,0.860648282535075,0.030474890107601363,0.902790346907994,0.030100230151701858,0.8804227304227303,0.01431486829823116,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.8392567007460624,0.04918800235840447,0.8320000000000001,0.048332183894378294,0.833694578834319,0.026904432571525593,50.0,0.0,,
10,C5203670,COVID19 (disease),0.8451249335459862,0.039768887766434016,0.7757575757575756,0.08109924867426144,0.8078600620404364,0.05844439417051465,21.4,0.4898979485566356,,
11,OVERRALL,,0.850452147155201,0.04844127955190307,0.8296186296074685,0.054160314885306766,0.8363821049510567,0.03646866715635571,40.490909090909085,0.22001088804492497,0.8576510303824255,0.015779265593466128
