,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.84071212757446,0.041822341082812416,0.8963924050632912,0.04498018934046043,0.8668793409640643,0.03573187801471014,79.2,0.4,0.8666347558825012,0.015361218249843987
1,C0003962,Ascites,0.8530113743118448,0.05514226236036133,0.8938443670150986,0.032425612867812925,0.8715275334827084,0.02881959838553351,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.8174649859943978,0.07806441265371804,0.8110294117647058,0.07682328168593514,0.80980030832972,0.04766151211760363,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.8854851031321619,0.06948613647362312,0.5272727272727273,0.08430562268632458,0.6554584304584304,0.06559974875277551,22.0,0.0,,
4,C0020295,Hydronephrosis,0.9505882352941176,0.05472520566733912,0.930241935483871,0.030217732250314835,0.9395403327502745,0.03581634596087185,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.9134255314427728,0.04391314498768713,0.8408199643493761,0.06808149155212985,0.8730323395242751,0.034674637722674574,33.8,0.4,,
6,C0031039,Pericardial effusion,0.927974926855821,0.04732398954923821,0.9739130434782609,0.0169013098401313,0.9497922067708929,0.028802066088208202,69.0,0.0,,
7,C0032285,Pneumonia,0.7904586060772674,0.08065125476963135,0.7793103448275862,0.051609067403778484,0.783157266206268,0.05654189054335026,29.0,0.0,,
8,C0032326,Pneumothorax,0.875018728833511,0.03871627874440122,0.9104072398190046,0.026763854822896144,0.8915420413426739,0.020373844324696855,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.822116741036037,0.035878851007663276,0.828,0.027129319932501058,0.8248730659473713,0.029632304514910588,50.0,0.0,,
10,C5203670,COVID19 (disease),0.8688023088023087,0.03820945752530683,0.8043290043290042,0.0795595152045724,0.8336884971711971,0.051907569264459594,21.4,0.4898979485566356,,
11,OVERRALL,,0.8677326063049726,0.053084848620162,0.8359600403093569,0.04898154523516884,0.8453901239043524,0.039596490517254064,40.490909090909085,0.22001088804492497,0.8666347558825012,0.015361218249843987
