,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.6704882067907872,0.04106462767219774,0.7144303797468355,0.07800426859424586,0.6912128909413815,0.057364882691239835,79.2,0.4,0.6883700307351237,0.019759610834123132
1,C0003962,Ascites,0.7176284459684086,0.029347024142061254,0.7533101045296167,0.03044302889738607,0.734103701176872,0.01319656921058915,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.6185807656395891,0.15946416765461474,0.6551470588235293,0.07614466744705656,0.631078005878765,0.10887604663176102,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.5888888888888888,0.11967032904743342,0.2818181818181818,0.0668042657122685,0.37834703773982714,0.07945468110008758,22.0,0.0,,
4,C0020295,Hydronephrosis,0.764848623401255,0.09443101925573483,0.809475806451613,0.05076483190328295,0.7835317226110066,0.05786785138751926,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.6916324038937469,0.040167924947353564,0.627807486631016,0.07814442729368466,0.6544970019685248,0.04253474207547849,33.8,0.4,,
6,C0031039,Pericardial effusion,0.8512169786539691,0.04081731311887444,0.9188405797101448,0.02688005361013247,0.8833373951316507,0.029855549106622123,69.0,0.0,,
7,C0032285,Pneumonia,0.5009513192121887,0.059965331788452994,0.5586206896551724,0.11622275549208769,0.5222630175850516,0.0617255651832381,29.0,0.0,,
8,C0032326,Pneumothorax,0.7203965926546572,0.07093735672483457,0.7273755656108597,0.06292413400100705,0.7206370161864599,0.047071059218826705,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.5971616728633569,0.06360896265246906,0.572,0.05741080037762931,0.5826025582962538,0.04984113594845668,50.0,0.0,,
10,C5203670,COVID19 (disease),0.560996780996781,0.1511157077255869,0.43679653679653685,0.15669799767814646,0.48707938590291533,0.14985095431521747,21.4,0.4898979485566356,,
11,OVERRALL,,0.6620718799057843,0.0791445240663285,0.6414202172521369,0.0727673846369934,0.6426081575835191,0.06342173062445787,40.490909090909085,0.22001088804492497,0.6883700307351237,0.019759610834123132
