,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.8418479668479669,0.0038001724189642132,0.914141414141414,0.00714249273925805,0.8765041721563461,0.0053413423963147594,132.0,0.0,0.8693345135611318,0.005629772512702844
1,C0003962,Ascites,0.8955031881976853,0.046461499308374475,0.8792270531400966,0.018075639549632556,0.8861357249388675,0.014073839339946706,69.0,0.0,,
2,C0006267,Bronchiectasis,0.8079975579975581,0.027839764995043585,0.75,0.05050762722761051,0.7771333604666939,0.033411272713048924,28.0,0.0,,
3,C0006826,Malignant neoplastic disease,0.7210445468509984,0.05593254363386182,0.6276276276276276,0.04310120148470668,0.6700404357664865,0.04054679266115949,36.666666666666664,0.4714045207910317,,
4,C0020295,Hydronephrosis,0.9801253834867282,0.016014181560888425,0.9172714078374457,0.017718813105369415,0.9473759102542655,0.004456195952733405,52.333333333333336,0.4714045207910317,,
5,C0025062,Mediastinal Emphysema,0.8710453944783741,0.03817649559123838,0.8052422723475354,0.07086497250524658,0.8332479728851361,0.02146513825196964,56.333333333333336,0.4714045207910317,,
6,C0031039,Pericardial effusion,0.9496348674971343,0.022634041214747814,0.9623188405797102,0.035023321662593,0.9552142807220623,0.013913938137147001,115.0,0.0,,
7,C0032285,Pneumonia,0.8052287581699346,0.04417449738226356,0.8139172335600907,0.015307434646028528,0.808582276667383,0.017112725635674276,48.333333333333336,0.4714045207910317,,
8,C0032326,Pneumothorax,0.8825431034482758,0.04230888830955917,0.9143638850889193,0.005997348896520633,0.8975564231233418,0.020823163424885837,85.66666666666667,0.4714045207910317,,
9,C0497156,Lymphadenopathy,0.8296809779367919,0.0328403943065399,0.8598202333142092,0.03503734207713423,0.8431338759097956,0.0020517198593178873,83.33333333333333,0.4714045207910317,,
10,C5203670,COVID19 (disease),0.8794061302681992,0.012592051804490257,0.7476190476190476,0.02292904622224387,0.8078431372549021,0.011091871077436,35.666666666666664,0.4714045207910317,,
11,OVERRALL,,0.8603688977436044,0.03116132095690651,0.8355953650232816,0.02924593091966764,0.8457061427404802,0.016753454495421264,67.48484848484848,0.22676711434993588,0.8693345135611318,0.005629772512702844
