,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.8246322913381391,0.02603658101587277,0.9090189873417721,0.02834884947336855,0.8643422077504036,0.019018421875327114,79.2,0.4,0.8576439764196099,0.01256187372100034
1,C0003962,Ascites,0.8640132852456344,0.0700974649813788,0.8452961672473867,0.02958961205749812,0.8527106297230389,0.03501221985665611,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.8240800865800864,0.08464739511406764,0.6323529411764707,0.21331134546433816,0.6996950875211745,0.18110798623557336,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.6646498599439775,0.08326005299050293,0.5818181818181818,0.10123207932418223,0.6195314762756624,0.09155832737512802,22.0,0.0,,
4,C0020295,Hydronephrosis,0.9552697675681546,0.03121061823790277,0.9171370967741936,0.051937925708975825,0.9344216134872421,0.024951722982354273,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.8957366443195142,0.041918980026537114,0.7996434937611407,0.10207290993976925,0.8410695142898532,0.0604864012061352,33.8,0.4,,
6,C0031039,Pericardial effusion,0.9685159605698217,0.020976307564972117,0.9594202898550724,0.02493427613635544,0.9635550834145388,0.012202137659703478,69.0,0.0,,
7,C0032285,Pneumonia,0.8570502665333999,0.04518963812189147,0.7999999999999999,0.06320794062008052,0.8248708078555449,0.03151212048690247,29.0,0.0,,
8,C0032326,Pneumothorax,0.8462465372810751,0.03869595082277752,0.9143288084464556,0.026784884320269202,0.8787662803533021,0.031164718483626844,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.8066912031270188,0.036828823146443056,0.8240000000000001,0.062481997407253236,0.8134769205234763,0.033063662702079395,50.0,0.0,,
10,C5203670,COVID19 (disease),0.8155346569139672,0.07323603196392563,0.8515151515151516,0.0789447085718086,0.8272177589852008,0.020964789206157488,21.4,0.4898979485566356,,
11,OVERRALL,,0.8474927781291626,0.050190713089661075,0.8213210107214387,0.07116786627489992,0.8290597618344943,0.0491856825517858,40.490909090909085,0.22001088804492497,0.8576439764196099,0.01256187372100034
