,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.8539662608482036,0.028591438892004523,0.9292088607594937,0.03461793896877401,0.8898578080642047,0.029492985215232033,79.2,0.4,0.8895299037637929,0.016026181013634205
1,C0003962,Ascites,0.9005136446713303,0.04097650080117336,0.8938443670150986,0.03259780052836308,0.8961538437938156,0.02061066787094042,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.8890346907993967,0.03196759903346073,0.7639705882352941,0.1104508690036788,0.8177089864158831,0.06673938449813478,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.8194136745607334,0.113004323352392,0.5818181818181818,0.1448852495500839,0.6690682124892652,0.10524212912226841,22.0,0.0,,
4,C0020295,Hydronephrosis,0.9735052836484984,0.013307265217012738,0.936491935483871,0.03970289963383063,0.9542929226159,0.024508260006055497,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.9243338143338142,0.03474616568773095,0.8408199643493761,0.07978216152869698,0.8777111335065871,0.04101234241867244,33.8,0.4,,
6,C0031039,Pericardial effusion,0.9488303558726093,0.04345080295473165,0.9739130434782609,0.024934276136355443,0.9603792196901464,0.022793225131585982,69.0,0.0,,
7,C0032285,Pneumonia,0.853897953897954,0.0766413407700071,0.8482758620689654,0.07100434579991034,0.8484708839547549,0.057398768698517844,29.0,0.0,,
8,C0032326,Pneumothorax,0.8770892641278035,0.03263448155398379,0.9337858220211162,0.015735506914926083,0.9041362657039429,0.01805256716637037,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.8732570668325386,0.013455364504312606,0.8800000000000001,0.02828427124746193,0.8763185387129255,0.01490848994067717,50.0,0.0,,
10,C5203670,COVID19 (disease),0.854295818597878,0.05820748809272819,0.86017316017316,0.05069927609335876,0.8557366059918528,0.039950580877122874,21.4,0.4898979485566356,,
11,OVERRALL,,0.8880125298355236,0.04427116098723069,0.8583910714002563,0.05751769049140363,0.8681667655399342,0.040064490995052535,40.490909090909085,0.22001088804492497,0.8895299037637929,0.016026181013634205
