,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.8033300696332508,0.024577905187311566,0.8963924050632912,0.031587034471048624,0.8471264002783183,0.024715467416261138,79.2,0.4,0.846417090744193,0.016041008409430645
1,C0003962,Ascites,0.864264726857795,0.06550358898357403,0.8504065040650406,0.02261858169633098,0.8555945334159389,0.03025537539491237,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.8258349493643612,0.05934312382481947,0.6683823529411765,0.09931643532295907,0.7345130953584792,0.0668317727423071,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.7016383616383617,0.09722577002804175,0.5727272727272728,0.10984587248722337,0.6242748033445708,0.08788197560353632,22.0,0.0,,
4,C0020295,Hydronephrosis,0.9564222052457346,0.029495972766401642,0.9173387096774194,0.06542641587998799,0.9342488626558947,0.025087752812714137,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.8858723064106824,0.036769681533284464,0.7992869875222816,0.0697660028942463,0.8372371846245746,0.03101038220957543,33.8,0.4,,
6,C0031039,Pericardial effusion,0.950640756302521,0.026055002646559515,0.9420289855072463,0.03304856304635184,0.9460313599732146,0.02503372453949102,69.0,0.0,,
7,C0032285,Pneumonia,0.8388962339106942,0.03633072014846897,0.8206896551724137,0.05517241379310342,0.828695301472071,0.03833200251820385,29.0,0.0,,
8,C0032326,Pneumothorax,0.8410722047693397,0.029975733160993286,0.8910256410256411,0.03405710147997051,0.8641809627249348,0.004539376100352905,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.7920903920781479,0.03232879434981275,0.7760000000000001,0.04454211490264017,0.7835364726212773,0.033974335275443725,50.0,0.0,,
10,C5203670,COVID19 (disease),0.7777338603425561,0.034916182250610064,0.8324675324675324,0.06197586205427973,0.8014491377946527,0.010196323556885456,21.4,0.4898979485566356,,
11,OVERRALL,,0.8397996424139496,0.0429565886254434,0.8151587314699378,0.05703239982074018,0.8233534649330843,0.03435077165178941,40.490909090909085,0.22001088804492497,0.846417090744193,0.016041008409430645
