,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.43916064094971113,0.0423950162470006,0.5356012658227847,0.09194930522637745,0.47702358307695014,0.03702667824664654,79.2,0.4,0.4566755680959339,0.009395119739857082
1,C0003962,Ascites,0.4150431179842945,0.06292966107727856,0.38571428571428573,0.08101859095995341,0.39853741397927445,0.06938333997091303,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.4281835811247576,0.08866683553300776,0.4970588235294118,0.13682003940721185,0.4566904524223266,0.10609291979258448,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.4704977375565611,0.0652779194904226,0.2545454545454545,0.09791208740244554,0.3223076923076923,0.09344252702480058,22.0,0.0,,
4,C0020295,Hydronephrosis,0.5998879958516983,0.0633949915439437,0.4330645161290323,0.06859166091392072,0.49988659773740673,0.055125463126287376,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.31401154401154396,0.05521509591291303,0.20124777183600712,0.029178026558824312,0.24408100157625773,0.033699759332447926,33.8,0.4,,
6,C0031039,Pericardial effusion,0.6639598845254728,0.031206131608259944,0.7855072463768116,0.04037213993386703,0.7188111352879443,0.0252419048563796,69.0,0.0,,
7,C0032285,Pneumonia,0.21487238162295372,0.047263190803681,0.13793103448275862,0.030842316931031587,0.16678440607012038,0.03562087292395156,29.0,0.0,,
8,C0032326,Pneumothorax,0.45646025941110546,0.0328581635779239,0.5914781297134238,0.10707135580181952,0.5131182099479612,0.060430354008003576,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.3488588816295596,0.07515930576696765,0.352,0.08158431221748455,0.3487400206326582,0.07509337771713483,50.0,0.0,,
10,C5203670,COVID19 (disease),0.278921568627451,0.06639216844445889,0.20519480519480515,0.0866060567111251,0.23010837116100274,0.0717343366130754,21.4,0.4898979485566356,,
11,OVERRALL,,0.4208961448450099,0.05734168000053252,0.3981221212131615,0.07744962655127827,0.39782626219996314,0.06026286669202045,40.490909090909085,0.22001088804492497,0.4566755680959339,0.009395119739857082
