,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.8280926841835257,0.03481085277624551,0.903987341772152,0.029656204515605678,0.8638289499043404,0.02435564427841587,79.2,0.4,0.8675225474882854,0.017197491018264694
1,C0003962,Ascites,0.9076650906946157,0.04790627035839372,0.8743321718931474,0.018311017119643554,0.889919711423763,0.0251326212490459,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.8642307692307692,0.02316365467911658,0.738970588235294,0.13075009841408958,0.788867476609412,0.07578533184986459,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.7586779448621555,0.07685301320235378,0.6727272727272726,0.10123207932418221,0.7095750949793038,0.07425861536660366,22.0,0.0,,
4,C0020295,Hydronephrosis,0.967353100901488,0.01932578809965626,0.9171370967741936,0.051937925708975825,0.9404585637864873,0.02453382147912409,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.8958930028073521,0.05985175133789026,0.7934046345811051,0.08244163414637629,0.8387685554447767,0.05902498488254087,33.8,0.4,,
6,C0031039,Pericardial effusion,0.9474658447548473,0.04244268633871252,0.9565217391304348,0.02049584873004487,0.9514117615711303,0.024829828967647394,69.0,0.0,,
7,C0032285,Pneumonia,0.8726296296296298,0.03382120340445696,0.7999999999999999,0.06320794062008052,0.8335376470170202,0.0425837987249531,29.0,0.0,,
8,C0032326,Pneumothorax,0.8238644023852736,0.016350451340747765,0.9260935143288085,0.00757158395053462,0.8719298025514265,0.011324542982581424,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.8384059212491568,0.029494784451833084,0.8240000000000001,0.05571355310873648,0.8299309139072222,0.0320617167959461,50.0,0.0,,
10,C5203670,COVID19 (disease),0.8348484848484847,0.07248134626630398,0.8324675324675324,0.08642410191146516,0.8273070340512201,0.023978420123463826,21.4,0.4898979485566356,,
11,OVERRALL,,0.8671933523224816,0.04150016384142821,0.8399674447190855,0.05888563523179407,0.8495941373860094,0.037988120609107896,40.490909090909085,0.22001088804492497,0.8675225474882854,0.017197491018264694
