,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
0,C0000833,Abscess,0.8392314666057207,0.02685102173641822,0.8887341772151899,0.05227771477049027,0.8621183008933141,0.025429465238369257,79.2
1,C0003962,Ascites,0.8805704435936994,0.041944149080050536,0.8981416957026713,0.03648031670968748,0.8878666553085157,0.016749970677642362,41.4
2,C0006267,Bronchiectasis,0.7778011204481793,0.09702648197425962,0.7507352941176471,0.092553641044468,0.7588143603323869,0.07553925098545178,16.8
3,C0006826,Malignant neoplastic disease,0.7542105263157894,0.1601884086138322,0.5818181818181818,0.053008653589502734,0.6485255762905318,0.07639522398967219,22.0
4,C0020295,Hydronephrosis,0.9287841967025537,0.019473332458358028,0.8919354838709678,0.06421109846820279,0.9080261224862693,0.02615161172677802,31.4
5,C0025062,Mediastinal Emphysema,0.8554367350737587,0.04612013580563977,0.8171122994652407,0.11633443719842823,0.8302328277120867,0.060679134842504104,33.8
6,C0031039,Pericardial effusion,0.9369074454669251,0.03172074177301212,0.9768115942028986,0.014779766706066044,0.9562598977563603,0.021564142903366588,69.0
7,C0032285,Pneumonia,0.8111847922192752,0.035424466905677104,0.7862068965517242,0.05932638115201808,0.7964326604856442,0.029862042174693338,29.0
8,C0032326,Pneumothorax,0.8636774524910118,0.03329563023859742,0.898868778280543,0.03358321061886593,0.8799609067951482,0.015504036761732369,51.4
9,C0497156,Lymphadenopathy,0.8638798498122654,0.03989025587014252,0.8160000000000001,0.040792156108742275,0.8376184481482021,0.01750932692914036,50.0
10,C5203670,COVID19 (disease),0.8239928698752228,0.06896876487999316,0.8043290043290042,0.0795595152045724,0.8104514757946408,0.04817124726792644,21.4
