,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
0,C0000833,Abscess,0.6437001925102612,0.04892421819134891,0.7044620253164557,0.06316826680462893,0.671828910416971,0.05089530839185176,79.2
1,C0003962,Ascites,0.715060289209616,0.056477951042786585,0.7240418118466899,0.05477566665313674,0.7162845214778109,0.028570899826602953,41.4
2,C0006267,Bronchiectasis,0.5911427298192005,0.11631926011729579,0.6308823529411766,0.10107553104376224,0.6064078475843182,0.09899864483489176,16.8
3,C0006826,Malignant neoplastic disease,0.5337723387723388,0.1418647561163097,0.24545454545454545,0.0616575453011388,0.33450006982265046,0.08307360082005832,22.0
4,C0020295,Hydronephrosis,0.7890898289285386,0.10175867570336547,0.7838709677419355,0.04903215858436428,0.7805181462672041,0.0397807787532836,31.4
5,C0025062,Mediastinal Emphysema,0.6863322929339264,0.05928844240811625,0.6392156862745099,0.11321725516276117,0.6539956495580651,0.06699139330513748,33.8
6,C0031039,Pericardial effusion,0.842371949414203,0.049091850930931026,0.9159420289855074,0.021299910806810263,0.877220224220224,0.03481303742252711,69.0
7,C0032285,Pneumonia,0.4701520388213936,0.09445663120140108,0.5310344827586206,0.11663127258819146,0.49555672591634875,0.09525749235251124,29.0
8,C0032326,Pneumothorax,0.7030077138402763,0.033777666638579375,0.7002262443438914,0.06405729925231382,0.7004390504954363,0.042618690802294135,51.4
9,C0497156,Lymphadenopathy,0.5450872774641772,0.021946732015690116,0.532,0.02400000000000002,0.5384084140372801,0.022360213991560355,50.0
10,C5203670,COVID19 (disease),0.6173919647603858,0.16908914453386661,0.43766233766233764,0.1043855714154219,0.5027813852813853,0.11189818656526013,21.4
