,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
0,C0000833,Abscess,0.4322463020295837,0.1141067890708003,0.2223529411764706,0.06638463990431005,0.2934038572694035,0.0843019912506442,34.2
1,C0001304,Acute abscess,0.512258151056105,0.033095822378042566,0.5822222222222222,0.04309048762147849,0.5445512065254333,0.034511998409772,45.0
2,C0003962,Ascites,0.8201864498217082,0.05269258646175906,0.8842044134727061,0.017004690144660835,0.8504587690477052,0.03537198609803427,41.4
3,C0006267,Bronchiectasis,0.9110859728506787,0.09244400369260238,0.7500000000000001,0.06834676493307204,0.8175050709939148,0.043062436042992154,16.8
4,C0006826,Malignant neoplastic disease,0.8684848484848484,0.11411977983941646,0.4545454545454546,0.09958591954639383,0.5909948451124922,0.09542977025563062,22.0
5,C0020295,Hydronephrosis,0.8583952290593657,0.018181387463606383,0.923991935483871,0.04195098968916114,0.8892840492840494,0.01968243702031501,31.4
6,C0025062,Mediastinal Emphysema,0.9444207499424891,0.03233715327959751,0.709982174688057,0.060268536916176875,0.8096273677228771,0.04712494423404758,33.8
7,C0031039,Pericardial effusion,0.8326170194962765,0.038276001149543375,0.9507246376811593,0.02354793740474195,0.8869194024366438,0.019557245209363146,69.0
8,C0032285,Pneumonia,0.8301132201132202,0.05084878622665381,0.689655172413793,0.10904405724718551,0.7508379377750919,0.08327459832764048,29.0
9,C0032326,Pneumothorax,0.7050316509898653,0.060413460346102676,0.9104826546003016,0.040253129622132434,0.7932938501262227,0.044558488174467184,51.4
10,C0497156,Lymphadenopathy,0.6936690664408055,0.04343383094220357,0.8320000000000001,0.05455272678794343,0.7551312710812266,0.035841835008093806,50.0
11,C5203670,COVID19 (disease),0.8855952380952381,0.05348694101986374,0.7095238095238094,0.07231381131712936,0.7857885357885358,0.05751572396473592,21.4
