,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
0,C0000833,Abscess,0.4629766333410835,0.09207855400474581,0.2574789915966387,0.06860890391347098,0.32917234262125905,0.07546170403319453,34.2
1,C0001304,Acute abscess,0.5449626517273576,0.009728942756630953,0.6088888888888888,0.06531972647421809,0.573984398439844,0.03467413449673494,45.0
2,C0003962,Ascites,0.8491717171717171,0.055324723387065594,0.8937282229965156,0.024747126309712587,0.8697114188004038,0.03104786063364123,41.4
3,C0006267,Bronchiectasis,0.8945658263305323,0.06798766545890524,0.7852941176470589,0.06141356769947381,0.834481340923466,0.04947440327109847,16.8
4,C0006826,Malignant neoplastic disease,0.8108359133126936,0.11724212267905462,0.5272727272727272,0.10601730717900544,0.6291371623393653,0.08045550931418755,22.0
5,C0020295,Hydronephrosis,0.8811051693404635,0.01780390871897864,0.9429435483870968,0.023072128227290288,0.9108566433566434,0.01760936499250854,31.4
6,C0025062,Mediastinal Emphysema,0.9140548187444739,0.04150856112733249,0.7515151515151515,0.057414109487906984,0.8240012106537531,0.046938475774026885,33.8
7,C0031039,Pericardial effusion,0.8777608368357459,0.026318066782323676,0.9478260869565217,0.02839988107574701,0.9108920844275264,0.015819659056936636,69.0
8,C0032285,Pneumonia,0.8383415322405504,0.039486525738408974,0.7517241379310343,0.10088785405743304,0.7895864094625704,0.06502232193060455,29.0
9,C0032326,Pneumothorax,0.7720048104478041,0.05453703006964323,0.9223227752639518,0.04234726320157659,0.839821291344687,0.04512416155942263,51.4
10,C0497156,Lymphadenopathy,0.7322311465212795,0.04280880372482821,0.86,0.03346640106136305,0.7894952229673949,0.019440166073403962,50.0
11,C5203670,COVID19 (disease),0.8328667105841019,0.06746124492111844,0.7844155844155845,0.040830566658187364,0.8044042611484473,0.010268350555780702,21.4
